,Unique_ID,Ticker,Source,Date,Article Headline,Neutral,Positive,Negative
0,EP-1,CVX,Earnings Call Presentations,2024-04-26,"Chevron Corporation, Q1 2024 Earnings Call, Apr 26, 2024",0.23664409900084138,0.24035797640681267,0.5229979711584747
1,EP-10,CVX,Earnings Call Presentations,2022-01-28,"Chevron Corporation, Q4 2021 Earnings Call, Jan 28, 2022",0.27014003694057465,0.2624768754467368,0.4673830713145435
2,EP-100,OXY,Earnings Call Presentations,2021-02-23,"Occidental Petroleum Corporation, Q4 2020 Earnings Call, Feb 23, 2021",0.5717261740937829,0.1494348645210266,0.2788389497436583
3,EP-102,VLO,Earnings Call Presentations,2021-04-22,"Valero Energy Corporation, Q1 2021 Earnings Call, Apr 22, 2021",0.29397712514868807,0.2547853231163962,0.45123755745589733
4,EP-103,HES,Earnings Call Presentations,2021-04-28,"Hess Corporation, Q1 2021 Earnings Call, Apr 28, 2021",0.462608994760861,0.1759006300320228,0.36149036573867005
5,EP-104,PSX,Earnings Call Presentations,2021-04-30,"Phillips 66, Q1 2021 Earnings Call, Apr 30, 2021",0.4069973033453737,0.25415418217224733,0.33884849878294127
6,EP-105,MPC,Earnings Call Presentations,2021-05-04,"Marathon Petroleum Corporation, Q1 2021 Earnings Call, May 04, 2021",0.36255508195608854,0.185276009918501,0.4521688638875882
7,EP-106,DVN,Earnings Call Presentations,2021-05-05,"Devon Energy Corporation, Q1 2021 Earnings Call, May 05, 2021",0.636205093562603,0.013218971621245145,0.3505759347230196
8,EP-107,MRO,Earnings Call Presentations,2021-05-06,"Marathon Oil Corporation, Q1 2021 Earnings Call, May 06, 2021",0.6394800427887175,0.03658975660800934,0.32393019687798286
9,EP-109,OXY,Earnings Call Presentations,2021-05-11,"Occidental Petroleum Corporation, Q1 2021 Earnings Call, May 11, 2021",0.7268171384930611,0.04997007908033473,0.22321276579584395
10,EP-11,CVX,Earnings Call Presentations,2021-10-29,"Chevron Corporation, Q3 2021 Earnings Call, Oct 29, 2021",0.5321411704644561,0.031385718495585024,0.43647312745451927
11,EP-110,HES,Earnings Call Presentations,2021-07-28,"Hess Corporation, Q2 2021 Earnings Call, Jul 28, 2021",0.3935415140974025,0.1864557092388471,0.4200027716966967
12,EP-111,VLO,Earnings Call Presentations,2021-07-29,"Valero Energy Corporation, Q2 2021 Earnings Call, Jul 29, 2021",0.33334964513778687,0.14794981785650765,0.5187005193105766
13,EP-112,PSX,Earnings Call Presentations,2021-08-03,"Phillips 66, Q2 2021 Earnings Call, Aug 03, 2021",0.43071882453347954,0.17727914984737123,0.39200202375650406
14,EP-113,DVN,Earnings Call Presentations,2021-08-04,"Devon Energy Corporation, Q2 2021 Earnings Call, Aug 04, 2021",0.7362507503479719,0.013783207815140485,0.24996602535247803
15,EP-114,MPC,Earnings Call Presentations,2021-08-04,"Marathon Petroleum Corporation, Q2 2021 Earnings Call, Aug 04, 2021",0.36660380428656936,0.10654606553725898,0.5268500996753573
16,EP-115,OXY,Earnings Call Presentations,2021-08-04,"Occidental Petroleum Corporation, Q2 2021 Earnings Call, Aug 04, 2021",0.7778957346454263,0.021258038468658924,0.2008462199009955
17,EP-116,MRO,Earnings Call Presentations,2021-08-05,"Marathon Oil Corporation, Q2 2021 Earnings Call, Aug 05, 2021",0.6745226630009711,0.020095989224500954,0.30538133531808853
18,EP-118,VLO,Earnings Call Presentations,2021-10-21,"Valero Energy Corporation, Q3 2021 Earnings Call, Oct 21, 2021",0.3125033813218276,0.19522507768124342,0.49227153199414414
19,EP-119,HES,Earnings Call Presentations,2021-10-27,"Hess Corporation, Q3 2021 Earnings Call, Oct 27, 2021",0.45084452646022494,0.17224418625912882,0.37691126933152025
20,EP-12,CVX,Earnings Call Presentations,2021-07-30,"Chevron Corporation, Q2 2021 Earnings Call, Jul 30, 2021",0.3788436323404312,0.1258687350898981,0.4952876418828964
