Source,Unique_ID,Ticker,Date,URL,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
Investment Research,IR-3734 1,HES,2021-11-13,,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Investment Research,IR-3734 2,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Positive
Investment Research,IR-3734 3,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Positive
Investment Research,IR-3734 4,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-3734 5,HES,2021-11-13,,Positive,Neutral,Negative,Neutral,Neutral,Positive
Investment Research,IR-3734 6,HES,2021-11-13,,Positive,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-3734 7,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-3734 8,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-3734 9,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-3734 10,HES,2021-11-13,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-726 1,MRO,2022-05-21,,Neutral,Positive,Neutral,Negative,Neutral,Positive
Investment Research,IR-726 2,MRO,2022-05-21,,Neutral,Neutral,Negative,Negative,Neutral,Positive
Investment Research,IR-726 3,MRO,2022-05-21,,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Investment Research,IR-726 4,MRO,2022-05-21,,Positive,Neutral,Negative,Neutral,Neutral,Neutral
Investment Research,IR-726 5,MRO,2022-05-21,,Positive,Neutral,Negative,Negative,Neutral,Neutral
Investment Research,IR-726 6,MRO,2022-05-21,,Positive,Neutral,Negative,Negative,Neutral,Positive
Investment Research,IR-726 7,MRO,2022-05-21,,Positive,Neutral,Neutral,Negative,Neutral,Positive
Investment Research,IR-726 8,MRO,2022-05-21,,Positive,Neutral,Negative,Negative,Neutral,Positive
Investment Research,IR-726 9,MRO,2022-05-21,,Positive,Neutral,Neutral,Negative,Neutral,Positive
Investment Research,IR-726 10,MRO,2022-05-21,,Neutral,Positive,Negative,Negative,Neutral,Positive
Investment Research,IR-299 1,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-299 2,MRO,2023-06-24,,Positive,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-299 3,MRO,2023-06-24,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-299 4,MRO,2023-06-24,,Positive,Neutral,Positive,Neutral,Neutral,Neutral
Investment Research,IR-299 5,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-299 6,MRO,2023-06-24,,Neutral,Neutral,Positive,Negative,Neutral,Negative
Investment Research,IR-299 7,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Negative
Investment Research,IR-299 8,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Negative
Investment Research,IR-299 9,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-299 10,MRO,2023-06-24,,Positive,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-2095 1,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Positive,Neutral
Investment Research,IR-2095 2,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
Investment Research,IR-2095 3,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Investment Research,IR-2095 4,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Investment Research,IR-2095 5,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Investment Research,IR-2095 6,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Neutral,Positive
Investment Research,IR-2095 7,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Neutral,Positive
Investment Research,IR-2095 8,CVX,2021-11-21,,Positive,Neutral,Neutral,Neutral,Positive,Positive
Investment Research,IR-2095 9,CVX,2021-11-21,,Positive,Neutral,Positive,Neutral,Positive,Positive
Investment Research,IR-2095 10,CVX,2021-11-21,,Positive,Negative,Neutral,Negative,Positive,Neutral
Investment Research,IR-4168 1,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 2,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Negative
Investment Research,IR-4168 3,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 4,HES,2021-02-20,,Neutral,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 5,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Negative
Investment Research,IR-4168 6,HES,2021-02-20,,Neutral,Neutral,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 7,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 8,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 9,HES,2021-02-20,,Neutral,Positive,Positive,Negative,Neutral,Neutral
Investment Research,IR-4168 10,HES,2021-02-20,,Neutral,Neutral,Positive,Negative,Neutral,Neutral
ProQuest,PQ-2540764382 1,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 2,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Negative,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 3,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 4,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 5,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 6,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2540764382 7,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2540764382 8,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2540764382 9,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2540764382 10,XOM,2021-06-15,https://www.proquest.com/newspapers/exxon-stock-could-rise-40-with-big-dividend/docview/2540764382/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2415718613 1,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 2,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Negative,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 3,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2415718613 4,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Neutral
ProQuest,PQ-2415718613 5,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Positive
ProQuest,PQ-2415718613 6,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 7,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Negative,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 8,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 9,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2415718613 10,CVX,2020-06-23,https://www.proquest.com/newspapers/exchange-business-news-rising-oil-prices-deliver/docview/2520102781/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Positive
ProQuest,PQ-2641736904 1,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Positive,Positive,Neutral,Negative,Negative,Neutral
ProQuest,PQ-2641736904 2,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Positive,Positive,Neutral,Negative,Neutral,Neutral
ProQuest,PQ-2641736904 3,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Negative,Neutral
ProQuest,PQ-2641736904 4,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Negative,Neutral,Neutral,Neutral,Neutral,Neutral
ProQuest,PQ-2641736904 5,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Positive,Positive,Neutral,Negative,Negative,Neutral
ProQuest,PQ-2641736904 6,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Positive,Positive,Neutral,Negative,Neutral,Neutral
ProQuest,PQ-2641736904 7,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Negative,Neutral,Neutral,Neutral,Negative,Neutral
ProQuest,PQ-2641736904 8,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Negative,Neutral,Neutral,Negative,Negative,Neutral
ProQuest,PQ-2641736904 9,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Negative,Neutral,Neutral,Negative,Neutral,Neutral
ProQuest,PQ-2641736904 10,XOM,2022-03-23,https://www.proquest.com/newspapers/so-much-climate-activism-at-exxon-mobil/docview/2641736904/se-2?accountid=7064,Negative,Neutral,Positive,Neutral,Negative,Neutral
ProQuest,PQ-2880296882 1,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Neutral,Positive,Neutral
ProQuest,PQ-2880296882 2,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Negative,Positive,Neutral
ProQuest,PQ-2880296882 3,OXY,,https://www.proquest.com/newspapers/occidental-petroleum-stock-falls-lost-potential/docview/2880296882/se-2?accountid=7064,Negative,Neutral,Negative,Neutral,Positive,Neutral
