Unique_ID,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
PQ-2703147472,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2702197510,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2697049245,Neutral,Negative,Neutral,Neutral,Neutral,Negative
PQ-2696371267,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2695835797,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2680500135,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2680392256,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2675049707,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2673506122,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2672985343,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2665454855,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2665180174,Neutral,Positive,Positive,Neutral,Neutral,Neutral
PQ-2664997781,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2658035261,Positive,Neutral,Neutral,Neutral,Positive,Negative
PQ-2657456458,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2657145966,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2656643492,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2647535640,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2646920818,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2646694299,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2641736911,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2641311895,Negative,Negative,Neutral,Negative,Neutral,Negative
PQ-2641007493,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2637756952,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2635299155,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2637689982,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2634349437,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2634027301,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2630504900,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2624561403,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2624173606,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2623530479,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
PQ-2623530289,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2623275509,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2623235268,Positive,Positive,Neutral,Neutral,Positive,Positive
PQ-2623144354,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2596231912,Negative,Negative,Neutral,Negative,Neutral,Negative
PQ-2588203870,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2587697319,Positive,Neutral,Neutral,Neutral,Neutral,Positive
PQ-2587564891,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
PQ-2586915708,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2581104835,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2581109103,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2580852326,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
PQ-2580726701,Neutral,Neutral,Negative,Neutral,Neutral,Negative
PQ-2578305371,Negative,Negative,Negative,Negative,Neutral,Negative
PQ-2578159666,Negative,Negative,Negative,Negative,Neutral,Negative
PQ-2577278906,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2572413860,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2572173826,Neutral,Neutral,Neutral,Positive,Positive,Neutral
PQ-2571534991,Positive,Positive,Neutral,Neutral,Neutral,Positive
PQ-2571387612,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
PQ-2571358533,Positive,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2570551111,Positive,Neutral,Neutral,Positive,Neutral,Neutral
PQ-2568977527,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
