Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Negative,Neutral,Neutral,Neutral,Negative
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Positive,Neutral,Neutral,Neutral,Positive,Negative
Positive,Neutral,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Negative,Negative,Neutral,Negative,Neutral,Negative
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,N/A,Positive,Positive,N/A
Positive,Positive,Neutral,Neutral,Positive,Positive
Negative,Negative,Neutral,Negative,Neutral,Negative
Positive,Neutral,Neutral,Neutral,Neutral,Positive
Positive,Neutral,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Negative,Neutral,Neutral,Neutral
Neutral,Neutral,Negative,Neutral,Neutral,Negative
Negative,Negative,Negative,Negative,Neutral,Negative
Negative,Negative,Negative,Negative,Neutral,Negative
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Positive,Positive,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Neutral,Neutral,Positive,Neutral,Neutral
Positive,Neutral,Neutral,Positive,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Neutral,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Neutral,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Neutral,Positive,Positive,Neutral,Neutral,Neutral
Positive,Neutral,Neutral,Neutral,Positive,Negative
Neutral,Neutral,Neutral,Negative,Positive,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Positive,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Positive,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Negative,Negative,Neutral,Negative,Neutral,Negative
Neutral,Neutral,Neutral,Positive,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Neutral,Neutral,Neutral,Neutral,Positive
N/A,N/A,N/A,Neutral,N/A,N/A
Neutral,Neutral,Neutral,Positive,Neutral,Neutral
Neutral,Neutral,Neutral,Positive,Neutral,Neutral
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Negative,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Negative,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Negative,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
N/A,N/A,N/A,Negative,N/A,N/A
N/A,N/A,N/A,Negative,N/A,N/A
Positive,Positive,Neutral,Neutral,Neutral,Positive
Negative,Negative,Neutral,Negative,Neutral,Neutral
Neutral,Negative,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral,Neutral,Neutral
Positive,Positive,Neutral,Neutral,Neutral,Positive
Positive,Positive,Neutral,Neutral,Neutral,Positive
