,Finance,Production,Reserves / Exploration / Acquisitions / Mergers / Divestments,Environment / Regulatory / Geopolitics,Alternative Energy / Lower Carbon,Oil Price / Natural Gas Price / Gasoline Price
0,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
1,Positive,Positive,Neutral,Neutral,Neutral,Positive
2,Neutral,Negative,Neutral,Neutral,Neutral,Negative
3,Positive,Positive,Neutral,Neutral,Neutral,Positive
4,Positive,Positive,Neutral,Neutral,Neutral,Positive
5,Neutral,Positive,Positive,Neutral,Neutral,Neutral
6,Neutral,Positive,Positive,Neutral,Neutral,Neutral
7,Neutral,Positive,Positive,Neutral,Neutral,Neutral
8,Neutral,Positive,Positive,Neutral,Neutral,Neutral
9,Positive,Neutral,Neutral,Neutral,Positive,Negative
10,Positive,Neutral,Neutral,Neutral,Neutral,Positive
11,Positive,Positive,Neutral,Neutral,Neutral,Positive
12,Positive,Positive,Neutral,Neutral,Neutral,Positive
13,Positive,Positive,Neutral,Neutral,Neutral,Positive
14,Positive,Positive,Neutral,Neutral,Neutral,Positive
15,Negative,Negative,Neutral,Negative,Neutral,Negative
16,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
17,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
18,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
19,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
20,Positive,Positive,Neutral,Neutral,Neutral,Positive
21,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
22,Neutral,Neutral,Neutral,Positive,Positive,Neutral
23,Positive,Positive,Neutral,Neutral,Positive,Positive
24,Negative,Negative,Neutral,Negative,Neutral,Negative
25,Positive,Neutral,Neutral,Neutral,Neutral,Positive
26,Positive,Neutral,Neutral,Neutral,Neutral,Positive
27,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
28,Positive,Positive,Neutral,Neutral,Neutral,Positive
29,Positive,Positive,Neutral,Neutral,Neutral,Positive
30,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
31,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
32,Neutral,Neutral,Negative,Neutral,Neutral,Negative
33,Negative,Negative,Negative,Negative,Neutral,Negative
34,Negative,Negative,Negative,Negative,Neutral,Negative
35,Positive,Positive,Neutral,Neutral,Neutral,Positive
36,Positive,Positive,Neutral,Neutral,Neutral,Positive
37,Neutral,Neutral,Neutral,Positive,Positive,Neutral
38,Positive,Positive,Neutral,Neutral,Neutral,Positive
39,Positive,Neutral,Neutral,Positive,Neutral,Neutral
40,Positive,Neutral,Neutral,Positive,Neutral,Neutral
41,Positive,Positive,Neutral,Neutral,Neutral,Positive
42,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
43,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
44,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
45,Positive,Positive,Neutral,Neutral,Neutral,Positive
46,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
47,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
48,Positive,Positive,Neutral,Neutral,Neutral,Positive
49,Positive,Positive,Neutral,Neutral,Neutral,Positive
50,Positive,Neutral,Neutral,Neutral,Neutral,Positive
51,Positive,Positive,Neutral,Neutral,Neutral,Positive
52,Positive,Positive,Neutral,Neutral,Neutral,Positive
53,Positive,Positive,Neutral,Neutral,Neutral,Positive
54,Positive,Positive,Neutral,Neutral,Neutral,Positive
55,Positive,Positive,Neutral,Neutral,Neutral,Positive
