Source,Unique_ID,Ticker,Date,URL,Finance,Production,Reserves/M&A,Regulatory,Green Energy,OG Price,Returns
Earnings Call Presentations,EP-331,BP,2019-02-05,,Positive,Positive,Positive,Positive,Positive,Neutral,0.03454973531402716
Earnings Call Q&A,EQ-331,BP,2019-02-05,,Positive,Positive,Positive,Positive,Positive,Neutral,0.03454973531402716
Investment Research,IR-4891,BP,2019-02-20,,Positive,Positive,Neutral,Neutral,Neutral,Neutral,0.0023594680352334585
Earnings Call Presentations,EP-317,BP,2019-04-30,,Positive,Positive,Positive,Neutral,Positive,Neutral,0.01650345638426165
Earnings Call Q&A,EQ-317,BP,2019-04-30,,Positive,Positive,Positive,Positive,Positive,Neutral,0.01650345638426165
ProQuest,PQ-2229019635,BP,2019-05-22,https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229019635/se-2?accountid=7064,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,-0.00959076516749191
ProQuest,PQ-2229010582,BP,2019-05-22,https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229010582/se-2?accountid=7064,Negative,Neutral,Neutral,Negative,Neutral,Neutral,-0.00959076516749191
ProQuest,PQ-2229495532,BP,2019-05-23,https://www.proquest.com/newspapers/saudi-aramco-starts-fuel-trading-uae-with-ex-bp/docview/2229495532/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Positive,Neutral,-0.023618476800661314
ProQuest,PQ-2402425349,BP,2019-05-31,https://www.proquest.com/newspapers/why-ceos-shell-bp-11-other-major-corporations/docview/2402425349/se-2?accountid=7064,Neutral,Neutral,Neutral,Negative,Positive,Neutral,-0.007555152135290566
Investment Research,IR-4883,BP,2019-06-05,,Positive,Neutral,Neutral,Positive,Positive,Neutral,-0.007736971384129099
ProQuest,PQ-2238046543,BP,2019-06-11,https://www.proquest.com/newspapers/reliance-bp-develop-third-gas-project-india/docview/2238046543/se-2?accountid=7064,Neutral,Positive,Neutral,Positive,Positive,Neutral,0.006178568288063069
ProQuest,PQ-2238458473,BP,2019-06-12,https://www.proquest.com/newspapers/business-news-bp-charts-record-u-s-oil-gas-output/docview/2238458473/se-2?accountid=7064,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,-0.030231447172234582
ProQuest,PQ-2238246899,BP,2019-06-12,https://www.proquest.com/newspapers/ril-bp-develop-mj-deep-water-fields-companies-amp/docview/2238246899/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,-0.030231447172234582
ProQuest,PQ-2244415497,BP,2019-06-22,https://www.proquest.com/newspapers/bp-plc/docview/2244415497/se-2?accountid=7064,Positive,Positive,Negative,Neutral,Positive,Neutral,-0.0016959827642314407
SEC Filings,SEC-114036119010687,BP,2019-07-06,https://www.sec.gov/Archives/edgar/data/0000313807/000114036119010687/form11k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.0016959827642314407
ProQuest,PQ-2256018016,BP,2019-07-12,https://www.proquest.com/newspapers/world-news-u-k-says-foiled-iran-bid-block-ship/docview/2256018016/se-2?accountid=7064,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,-0.0016959827642314407
ProQuest,PQ-2257088783,BP,2019-07-13,https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088783/se-2?accountid=7064,Positive,Neutral,Negative,Neutral,Neutral,Neutral,-0.011201945764587329
ProQuest,PQ-2257088132,BP,2019-07-13,https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088132/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,-0.011201945764587329
ProQuest,PQ-2399952441,BP,2019-07-18,https://www.proquest.com/newspapers/boeing-hired-lawyer-who-managed-funds-9-11-boston/docview/2399952441/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.011201945764587329
ProQuest,PQ-2261279960,BP,2019-07-22,https://www.proquest.com/newspapers/bp-boosts-biofuels-business-with-brazilian-joint/docview/2261279960/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,0.003059173377588431
ProQuest,PQ-2261996347,BP,2019-07-23,https://www.proquest.com/newspapers/business-news-bp-boosts-bet-on-biofuels-company/docview/2261996347/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,0.003049525692520705
ProQuest,PQ-2265019314,BP,2019-07-29,https://www.proquest.com/newspapers/world-when-criticism-against-questionable/docview/2265019314/se-2?accountid=7064,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,0.002821911388929399
Earnings Call Presentations,EP-337,BP,2019-07-30,,Positive,Neutral,Positive,Neutral,Positive,Neutral,0.023023954119921974
Earnings Call Q&A,EQ-337,BP,2019-07-30,,Positive,Neutral,Positive,Negative,Positive,Neutral,0.023023954119921974
Investment Research,IR-4863,BP,2019-07-31,,Positive,Positive,Neutral,Positive,Neutral,Neutral,-0.006251522758332517
ProQuest,PQ-2463580737,BP,2019-08-06,https://www.proquest.com/newspapers/reliance-bp-announce-new-joint-venture-set-up-5/docview/2463580737/se-2?accountid=7064,Positive,Positive,Positive,Neutral,Neutral,Neutral,-0.001327500809771509
