Source,Unique_ID,Ticker,Date,URL,Finance,Production,Reserves/M&A,Regulatory,Green Energy,OG Price,Returns
ProQuest,PQ-2463687415,BP,2019-01-09,https://www.proquest.com/newspapers/markets-cover-story-reliance-great-gamble-will/docview/2463687415/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.008244182658419641
ProQuest,PQ-2311280728,BP,2019-02-11,https://www.proquest.com/newspapers/arabia-saudí-valora-aramco-entre-1-6-y-8-billones/docview/2311280728/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.006589426419707389
Investment Research,IR-4891,BP,2019-02-20,,Positive,Positive,Neutral,Neutral,Neutral,Positive,0.002359587906936911
ProQuest,PQ-2300507429,BP,2019-03-10,https://www.proquest.com/newspapers/bp-ceo-step-down-no-decision-on-timing/docview/2300507429/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Neutral,0.001893538609500256
ProQuest,PQ-2311444292,BP,2019-03-11,https://www.proquest.com/newspapers/aramco-arranca-la-opv-para-ser-mayor-cotizada-del/docview/2311444292/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Negative,Neutral,0.001893538609500256
ProQuest,PQ-2283770077,BP,2019-04-09,https://www.proquest.com/newspapers/start-trusting-private-sector-more-we-will/docview/2283770077/se-2?accountid=7064,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,-0.00530617771780062
ProQuest,PQ-2300522176,BP,2019-04-10,https://www.proquest.com/newspapers/bp-chief-retire-having-steered-oil-giant-through/docview/2300522176/se-2?accountid=7064,Positive,Neutral,Neutral,Positive,Positive,Neutral,0.0011113789117487283
Earnings Call Presentations,EP-317,BP,2019-04-30,,Positive,Positive,Positive,Neutral,Positive,Neutral,0.01650381412517854
Earnings Call Q&A,EQ-317,BP,2019-04-30,,Positive,Positive,Positive,Neutral,Positive,Neutral,0.01650381412517854
Earnings Call Presentations,EP-331,BP,2019-05-02,,Positive,Positive,Neutral,Neutral,Positive,Neutral,-0.010446110446934886
Earnings Call Q&A,EQ-331,BP,2019-05-02,,Positive,Positive,Positive,Neutral,Neutral,Neutral,-0.010446110446934886
ProQuest,PQ-2300867060,BP,2019-05-10,https://www.proquest.com/newspapers/exchange-business-amp-finance-news-bp-chief/docview/2300867060/se-2?accountid=7064,Positive,Neutral,Negative,Positive,Positive,Neutral,-0.003601885060349863
ProQuest,PQ-2229019635,BP,2019-05-22,https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229019635/se-2?accountid=7064,Negative,Neutral,Negative,Negative,Positive,Neutral,-0.009590882135174894
ProQuest,PQ-2229010582,BP,2019-05-22,https://www.proquest.com/newspapers/bp-bosses-get-public-grilling-on-climate-largest/docview/2229010582/se-2?accountid=7064,Neutral,Neutral,Negative,Negative,Negative,Neutral,-0.009590882135174894
ProQuest,PQ-2229495532,BP,2019-05-23,https://www.proquest.com/newspapers/saudi-aramco-starts-fuel-trading-uae-with-ex-bp/docview/2229495532/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.02361818433908791
ProQuest,PQ-2402425349,BP,2019-05-31,https://www.proquest.com/newspapers/why-ceos-shell-bp-11-other-major-corporations/docview/2402425349/se-2?accountid=7064,Neutral,Neutral,Neutral,Positive,Positive,Neutral,-0.007555456812920913
Investment Research,IR-4883,BP,2019-06-05,,Positive,Neutral,Neutral,Positive,Neutral,Negative,-0.007737091347403524
ProQuest,PQ-2463580737,BP,2019-06-08,https://www.proquest.com/newspapers/reliance-bp-announce-new-joint-venture-set-up-5/docview/2463580737/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.0012187714569220631
ProQuest,PQ-2268739251,BP,2019-06-08,https://www.proquest.com/newspapers/reliance-bp-ink-new-fuel-retail-jv-set-up-5-500/docview/2268739251/se-2?accountid=7064,Positive,Positive,Positive,Neutral,Neutral,Neutral,0.0012187714569220631
ProQuest,PQ-2268592372,BP,2019-06-08,https://www.proquest.com/newspapers/rils-5-500-retail-fuel-outlets-sell-petrol-diesel/docview/2268592372/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.0012187714569220631
SEC Filings,SEC-114036119010687,BP,2019-07-06,https://www.sec.gov/Archives/edgar/data/0000313807/000114036119010687/form11k.htm,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0.0012187714569220631
ProQuest,PQ-2268899514,BP,2019-07-08,https://www.proquest.com/newspapers/ril-signs-pact-with-bp-supply-aviation-fuel-run/docview/2268899514/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.0012187714569220631
ProQuest,PQ-2257088783,BP,2019-07-13,https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088783/se-2?accountid=7064,Positive,Neutral,Negative,Neutral,Neutral,Neutral,-0.01120162751302567
ProQuest,PQ-2257088132,BP,2019-07-13,https://www.proquest.com/newspapers/best-pension-investment-person-on-planet-earth-as/docview/2257088132/se-2?accountid=7064,Positive,Neutral,Negative,Neutral,Neutral,Neutral,-0.01120162751302567
ProQuest,PQ-2399952441,BP,2019-07-18,https://www.proquest.com/newspapers/boeing-hired-lawyer-who-managed-funds-9-11-boston/docview/2399952441/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.01120162751302567
ProQuest,PQ-2261279960,BP,2019-07-22,https://www.proquest.com/newspapers/bp-boosts-biofuels-business-with-brazilian-joint/docview/2261279960/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,0.0030585352833791823
ProQuest,PQ-2261996347,BP,2019-07-23,https://www.proquest.com/newspapers/business-news-bp-boosts-bet-on-biofuels-company/docview/2261996347/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,0.003049781003485963
ProQuest,PQ-2265019314,BP,2019-07-29,https://www.proquest.com/newspapers/world-when-criticism-against-questionable/docview/2265019314/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0.0028221686737095464
Earnings Call Presentations,EP-337,BP,2019-07-30,,Positive,Positive,Neutral,Positive,Positive,Neutral,0.02302376224084579
Earnings Call Q&A,EQ-337,BP,2019-07-30,,Neutral,Neutral,Positive,Neutral,Positive,Neutral,0.02302376224084579
Investment Research,IR-4863,BP,2019-07-31,,Positive,Positive,Neutral,Positive,Neutral,Negative,-0.006251586451113567
ProQuest,PQ-2272847477,BP,2019-08-13,https://www.proquest.com/newspapers/mukesh-ambanis-reliance-get-foothold-global/docview/2272847477/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.015006979467689696
ProQuest,PQ-2272036418,BP,2019-08-13,https://www.proquest.com/newspapers/le-pétrolier-va-investir-15-milliards-de-dollars/docview/2272036418/se-2?accountid=7064,Positive,Positive,Positive,Neutral,Neutral,Positive,0.015006979467689696
ProQuest,PQ-2272477623,BP,2019-08-14,https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-deal-with-good-reason/docview/2272477623/se-2?accountid=7064,Positive,Neutral,Positive,Positive,Neutral,Positive,-0.02526871782829876
ProQuest,PQ-2272476627,BP,2019-08-14,https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-with-good-reason/docview/2272476627/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,-0.02526871782829876
ProQuest,PQ-2272863772,BP,2019-08-15,https://www.proquest.com/newspapers/yes-aramco-paid-premium-ril-deal-with-good-reason/docview/2272863772/se-2?accountid=7064,Neutral,Positive,Positive,Neutral,Neutral,Neutral,-0.005791480259951909
ProQuest,PQ-2274069207,BP,2019-08-17,https://www.proquest.com/newspapers/reliance-industries-rating-buy-deal-allay/docview/2274069207/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.015431179111038862
ProQuest,PQ-2275701201,BP,2019-08-19,https://www.proquest.com/newspapers/ril-bp-may-set-up-ev-charging-points-at-fuel/docview/2275701201/se-2?accountid=7064,Neutral,Neutral,Neutral,Positive,Positive,Neutral,0.015431179111038862
ProQuest,PQ-2274761699,BP,2019-08-19,https://www.proquest.com/newspapers/view-whole-concept-csr-needs-rethinking-politics/docview/2274761699/se-2?accountid=7064,Negative,Neutral,Neutral,Negative,Negative,Neutral,0.015431179111038862
ProQuest,PQ-2282353358,BP,2019-08-26,https://www.proquest.com/newspapers/stephanie-mcshane-holly-poultry/docview/2282353358/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0.0024855875584519627
ProQuest,PQ-2280205723,BP,2019-08-26,https://www.proquest.com/newspapers/los-grandes-bancos-luchan-por-participar-en-la/docview/2280205723/se-2?accountid=7064,Positive,Negative,Neutral,Neutral,Neutral,Negative,0.0024855875584519627
ProQuest,PQ-2280635693,BP,2019-08-27,https://www.proquest.com/newspapers/bp-exit-alaska-with-5-6-billion-sale-british-oil/docview/2280635693/se-2?accountid=7064,Positive,Negative,Negative,Neutral,Positive,Neutral,0.00826445553125521
ProQuest,PQ-2281013778,BP,2019-08-28,https://www.proquest.com/newspapers/business-news-bp-exit-alaska-setback-state/docview/2281013778/se-2?accountid=7064,Negative,Negative,Negative,Neutral,Neutral,Neutral,0.0062840198510065726
ProQuest,PQ-2280852576,BP,2019-08-28,https://www.proquest.com/newspapers/british-petroleum-vend-ses-activités-en-alaska/docview/2280852576/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.0062840198510065726
ProQuest,PQ-2282298894,BP,2019-08-29,https://www.proquest.com/newspapers/aramco-estudia-una-salida-bolsa-en-dos-fases/docview/2282298894/se-2?accountid=7064,Positive,Neutral,Neutral,Negative,Neutral,Negative,0.0032583044797629412
ProQuest,PQ-2282283695,BP,2019-08-29,https://www.proquest.com/newspapers/make-think-imagine-review-paving-road-progress/docview/2282283695/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0.0032583044797629412
ProQuest,PQ-2282235406,BP,2019-08-30,https://www.proquest.com/newspapers/paving-road-progress/docview/2282235406/se-2?accountid=7064,Neutral,Positive,Neutral,Positive,Neutral,Neutral,0.0
ProQuest,PQ-2286635424,BP,2019-09-09,https://www.proquest.com/newspapers/reliance-industries-reinventing-itself-et-wealth/docview/2286635424/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.0013352769074319593
ProQuest,PQ-2295320118,BP,2019-09-17,https://www.proquest.com/newspapers/featured-mover-stephanie-mcshane-holly-poultry/docview/2295320118/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-0.020584215851344845
ProQuest,PQ-2296506432,BP,2019-09-24,https://www.proquest.com/newspapers/leaving-canadas-oil-ground-makes-no-sense/docview/2296506432/se-2?accountid=7064,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,-0.01625335821248275
ProQuest,PQ-2299318269,BP,2019-09-30,https://www.proquest.com/newspapers/duro-felguera-logra-47-millones-por-el-laudo-de/docview/2299318269/se-2?accountid=7064,Neutral,Negative,Positive,Neutral,Neutral,Neutral,-0.007056646128463684
ProQuest,PQ-2287064873,BP,2019-10-09,https://www.proquest.com/newspapers/stock-pick-week-restructuring-reliance-industries/docview/2287064873/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.008683738858109802
ProQuest,PQ-2287059851,BP,2019-10-09,https://www.proquest.com/newspapers/stock-pick-is-ril-up-big-bull-run-here-on-news/docview/2287059851/se-2?accountid=7064,Positive,Neutral,Positive,Neutral,Neutral,Neutral,0.008683738858109802
ProQuest,PQ-2305397313,BP,2019-10-15,https://www.proquest.com/newspapers/close-100-tcf-natgas-yet-be-discovered-india-bp/docview/2305397313/se-2?accountid=7064,Positive,Positive,Positive,Positive,Positive,Neutral,-0.0016031040795262408
ProQuest,PQ-2305245602,BP,2019-10-15,https://www.proquest.com/newspapers/bringing-lng-under-gst-will-improve-affordability/docview/2305245602/se-2?accountid=7064,Positive,Neutral,Neutral,Positive,Positive,Neutral,-0.0016031040795262408
ProQuest,PQ-2307188279,BP,2019-10-18,https://www.proquest.com/newspapers/la-petrolera-británica-bp-se-suma-puja-por-las/docview/2307188279/se-2?accountid=7064,Neutral,Neutral,Positive,Neutral,Positive,Neutral,-0.007415222777113484
ProQuest,PQ-2306922601,BP,2019-10-21,https://www.proquest.com/newspapers/iran-united-kingdom-envoy-uk-can-broaden/docview/2306922601/se-2?accountid=7064,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0.02107791185908292
ProQuest,PQ-2307901544,BP,2019-10-24,https://www.proquest.com/newspapers/bp-join-reliance-retail-joint-venture-front-page/docview/2307901544/se-2?accountid=7064,Neutral,Neutral,Positive,Positive,Positive,Neutral,0.0038402111039483877
ProQuest,PQ-2309662395,BP,2019-10-29,https://www.proquest.com/newspapers/bp-swings-loss-on-weaker-oil-prices-repair-costs/docview/2309662395/se-2?accountid=7064,Neutral,Negative,Negative,Neutral,Neutral,Negative,-0.033384381493959614
Earnings Call Presentations,EP-310,BP,2019-10-29,,Positive,Neutral,Positive,Neutral,Positive,Neutral,-0.033384381493959614
Earnings Call Q&A,EQ-310,BP,2019-10-29,,Positive,Positive,Negative,Neutral,Positive,Negative,-0.033384381493959614
ProQuest,PQ-2310175704,BP,2019-10-30,https://www.proquest.com/newspapers/bp-swings-loss-on-weaker-oil-prices/docview/2310175704/se-2?accountid=7064,Negative,Neutral,Negative,Neutral,Neutral,Negative,0.013973104784929635
Investment Research,IR-4843,BP,2019-10-31,,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,-0.014300401924649764
